Sell,Buy,Updated_at
911924,895965,2022-05-13
915896,899867,2022-05-12
916307,900271,2022-05-11
917879,901816,2022-05-10
918811,902731,2022-05-09
923967,907797,2022-05-07
924982,908794,2022-05-06
927197,910971,2022-05-05
922068,905931,2022-05-04
921173,905052,2022-05-03
920977,904859,2022-05-02
923948,907778,2022-04-30
928303,912057,2022-04-29
920785,904671,2022-04-28
923982,907812,2022-04-27
924371,908194,2022-04-26
928345,912098,2022-04-25
938394,921972,2022-04-23
938767,922338,2022-04-22
940505,924046,2022-04-21
940487,924028,2022-04-20
946386,929824,2022-04-19
952185,935521,2022-04-18
948233,931638,2022-04-16
948254,931659,2022-04-15
947864,931276,2022-04-14
945872,929319,2022-04-13
942887,926386,2022-04-12
938390,921968,2022-04-11
933236,916904,2022-04-09
933201,916869,2022-04-08
929744,913473,2022-04-07
930319,914038,2022-04-06
936458,920069,2022-04-05
934820,918460,2022-04-04
934378,918026,2022-04-02
935028,918665,2022-04-01
933136,916806,2022-03-31
931272,914974,2022-03-30
930688,914400,2022-03-29
940870,924404,2022-03-28
933111,916781,2022-03-26
935298,918930,2022-03-25
934237,917887,2022-03-24
918315,902244,2022-03-23
922526,906381,2022-03-22
918876,902795,2022-03-21
921082,904963,2022-03-19
923161,907005,2022-03-18
926836,910616,2022-03-17
916984,900936,2022-03-16
920921,904804,2022-03-15
937104,920704,2022-03-14
940812,924347,2022-03-12
937935,921521,2022-03-11
941515,925038,2022-03-10
948019,931428,2022-03-09
978409,961286,2022-03-08
942123,925635,2022-03-07
935876,919498,2022-03-05
921037,904918,2022-03-04
919142,903057,2022-03-03
919538,903446,2022-03-02
912911,896935,2022-03-01
915266,899248,2022-02-28
915291,899273,2022-02-26
915291,899273,2022-02-25
913472,897486,2022-02-24
903887,888068,2022-02-23
900421,884663,2022-02-22
896285,880600,2022-02-21
900052,884301,2022-02-19
899919,884170,2022-02-18
897933,882219,2022-02-17
880387,864980,2022-02-16
882026,866590,2022-02-15
890412,874829,2022-02-14
886522,871007,2022-02-12
875424,860104,2022-02-11
875681,860356,2022-02-10
873008,857730,2022-02-09
871902,856643,2022-02-08
867257,852080,2022-02-07
863977,848857,2022-02-05
862627,847531,2022-02-04
860566,845506,2022-02-03
862455,847362,2022-02-02
862089,847002,2022-02-01
857874,842861,2022-01-31
859310,844272,2022-01-29
859314,844276,2022-01-28
878174,862805,2022-01-27
886358,870846,2022-01-26
882080,866643,2022-01-25
880554,865144,2022-01-24
875203,859886,2022-01-22
880799,865385,2022-01-21
881309,865886,2022-01-20
871757,856501,2022-01-19
867884,852696,2022-01-18
869575,854357,2022-01-17
869367,854153,2022-01-15
869367,854153,2022-01-14
868995,853787,2022-01-13
869225,854013,2022-01-12
862123,847035,2022-01-11
857824,842812,2022-01-10
858789,843760,2022-01-08
858792,843763,2022-01-07
860624,845563,2022-01-06
869848,854625,2022-01-05
866194,851035,2022-01-04
860407,845349,2022-01-03
859460,844419,2022-01-01
859460,844419,2021-12-31
860269,845214,2021-12-30
857276,842273,2021-12-29
862891,847790,2021-12-28
859578,844535,2021-12-27
860311,845255,2021-12-25
860311,845255,2021-12-24
859167,844131,2021-12-23
856222,841238,2021-12-22
857877,842864,2021-12-21
863554,848441,2021-12-20
866459,851295,2021-12-18
866456,851293,2021-12-17
856446,841458,2021-12-16
847284,832456,2021-12-15
848749,833895,2021-12-14
856009,841028,2021-12-13
854767,839808,2021-12-11
855761,840785,2021-12-10
852758,837834,2021-12-09
854117,839169,2021-12-08
856338,841352,2021-12-07
858244,843224,2021-12-06
856756,841762,2021-12-04
851087,836192,2021-12-03
850419,835536,2021-12-02
856547,841557,2021-12-01
854509,839555,2021-11-30
854522,839567,2021-11-29
856116,841133,2021-11-27
856120,841137,2021-11-26
854286,839335,2021-11-25
849652,834783,2021-11-24
852105,837193,2021-11-23
876272,860937,2021-11-22
880311,864905,2021-11-20
884477,868998,2021-11-19
887692,872157,2021-11-18
886924,871402,2021-11-17
885554,870056,2021-11-16
885820,870318,2021-11-15
885836,870333,2021-11-13
882433,866990,2021-11-12
886342,870831,2021-11-11
884178,868704,2021-11-10
870946,855704,2021-11-09
868183,852989,2021-11-08
868353,853156,2021-11-06
860530,845470,2021-11-05
860386,845329,2021-11-04
