,Sell,Buy,Installment,Updated_at
0,911924,895965,911924,2022-05-13T16:00:39.990+0000
1,915896,899867,915896,2022-05-12T00:00:00.000Z
2,916307,900271,916307,2022-05-11T00:00:00.000Z
3,917879,901816,917879,2022-05-10T00:00:00.000Z
4,918811,902731,918811,2022-05-09T00:00:00.000Z
5,923967,907797,923967,2022-05-07T00:00:00.000Z
6,924982,908794,924982,2022-05-06T00:00:00.000Z
7,927197,910971,927197,2022-05-05T00:00:00.000Z
8,922068,905931,922068,2022-05-04T00:00:00.000Z
9,921173,905052,921173,2022-05-03T00:00:00.000Z
10,920977,904859,920977,2022-05-02T00:00:00.000Z
11,923948,907778,923948,2022-04-30T00:00:00.000Z
12,928303,912057,928303,2022-04-29T00:00:00.000Z
13,920785,904671,920785,2022-04-28T00:00:00.000Z
14,923982,907812,923982,2022-04-27T00:00:00.000Z
15,924371,908194,924371,2022-04-26T00:00:00.000Z
16,928345,912098,928345,2022-04-25T00:00:00.000Z
17,938394,921972,938394,2022-04-23T00:00:00.000Z
18,938767,922338,938767,2022-04-22T00:00:00.000Z
19,940505,924046,940505,2022-04-21T00:00:00.000Z
20,940487,924028,940487,2022-04-20T00:00:00.000Z
21,946386,929824,946386,2022-04-19T00:00:00.000Z
22,952185,935521,952185,2022-04-18T00:00:00.000Z
23,948233,931638,948233,2022-04-16T00:00:00.000Z
24,948254,931659,948254,2022-04-15T00:00:00.000Z
25,947864,931276,947864,2022-04-14T00:00:00.000Z
26,945872,929319,945872,2022-04-13T00:00:00.000Z
27,942887,926386,942887,2022-04-12T00:00:00.000Z
28,938390,921968,938390,2022-04-11T00:00:00.000Z
29,933236,916904,933236,2022-04-09T00:00:00.000Z
30,933201,916869,933201,2022-04-08T00:00:00.000Z
31,929744,913473,929744,2022-04-07T00:00:00.000Z
32,930319,914038,930319,2022-04-06T00:00:00.000Z
33,936458,920069,936458,2022-04-05T00:00:00.000Z
34,934820,918460,934820,2022-04-04T00:00:00.000Z
35,934378,918026,934378,2022-04-02T00:00:00.000Z
36,935028,918665,935028,2022-04-01T00:00:00.000Z
37,933136,916806,933136,2022-03-31T00:00:00.000Z
38,931272,914974,931272,2022-03-30T00:00:00.000Z
39,930688,914400,930688,2022-03-29T00:00:00.000Z
40,940870,924404,940870,2022-03-28T00:00:00.000Z
41,933111,916781,933111,2022-03-26T00:00:00.000Z
42,935298,918930,935298,2022-03-25T00:00:00.000Z
43,934237,917887,934237,2022-03-24T00:00:00.000Z
44,918315,902244,918315,2022-03-23T00:00:00.000Z
45,922526,906381,922526,2022-03-22T00:00:00.000Z
46,918876,902795,918876,2022-03-21T00:00:00.000Z
47,921082,904963,921082,2022-03-19T00:00:00.000Z
48,923161,907005,923161,2022-03-18T00:00:00.000Z
49,926836,910616,926836,2022-03-17T00:00:00.000Z
50,916984,900936,916984,2022-03-16T00:00:00.000Z
51,920921,904804,920921,2022-03-15T00:00:00.000Z
52,937104,920704,937104,2022-03-14T00:00:00.000Z
53,940812,924347,940812,2022-03-12T00:00:00.000Z
54,937935,921521,937935,2022-03-11T00:00:00.000Z
55,941515,925038,941515,2022-03-10T00:00:00.000Z
56,948019,931428,948019,2022-03-09T00:00:00.000Z
57,978409,961286,978409,2022-03-08T00:00:00.000Z
58,942123,925635,942123,2022-03-07T00:00:00.000Z
