Updated_at,Actual,Predicted
2018-04-17,596364,606626.3751925495
2018-04-16,595550,605862.5681085186
2018-04-16,596163,606437.6015786256
2018-04-16,593090,603551.7854601259
2018-04-16,593090,603551.7854601259
2018-04-15,593090,603551.7854601259
2018-04-15,593090,603551.7854601259
2018-04-13,593090,603551.7854601259
2018-04-13,592982,603451.1061993664
2018-04-12,596947,607174.3027078367
2018-04-12,596734,606973.9122561327
2018-04-11,593822,604239.1150287723
2018-04-11,593703,604127.7870000479
2018-04-10,591480,602040.6284789189
2018-04-10,590825,601424.9360765822
2018-04-09,587956,598730.7977814515
2018-04-09,590055,600701.787924781
2018-04-09,586614,597471.3389521432
2018-04-09,586614,597471.3389521432
2018-04-08,586614,597471.3389521432
2018-04-08,586614,597471.3389521432
2018-04-06,586614,597471.3389521432
2018-04-06,589480,600162.5730378289
2018-04-05,587104,597931.1721142657
2018-04-05,588592,599328.0968573033
2018-04-04,593932,604342.6984989768
2018-04-04,590625,601237.1305324732
2018-04-03,591962,602492.7170825215
2018-04-03,591613,602165.5094850532
2018-04-02,588770,599495.5729352974
2018-04-02,587952,598726.9255021915
2018-04-02,585843,596746.254660712
2018-04-02,585843,596746.254660712
2018-04-01,585843,596746.254660712
2018-04-01,585843,596746.254660712
2018-03-31,585843,596746.254660712
2018-03-31,585843,596746.254660712
2018-03-29,585843,596746.254660712
2018-03-29,586727,597576.8585619776
2018-03-28,593209,603663.1134888503
2018-03-28,593499,603936.1091766788
2018-03-27,595791,606088.1283754124
2018-03-27,599375,609453.1390523346
2018-03-26,596337,606600.2373075447
2018-03-26,596754,606992.3055826176
2018-03-26,594086,604486.940901411
2018-03-26,594086,604486.940901411
2018-03-25,594086,604486.940901411
2018-03-25,594086,604486.940901411
2018-03-23,594086,604486.940901411
2018-03-23,599433,606861.6161575933
2018-03-23,596614,595309.6390552596
2018-03-22,602060,619265.4946971225
2018-03-21,592510,610020.4279639216
2018-03-20,595466,612809.4371009218
2018-03-19,593373,610795.8518857325
2018-03-19,593670,611069.815643376
2018-03-19,593670,611069.815643376
2018-03-18,593670,611069.815643376
2018-03-18,593670,611069.815643376
2018-03-16,593670,611069.815643376
2018-03-15,597595,614867.5535276008
2018-03-14,598842,616082.4811454194
2018-03-13,599023,616285.7758065683
2018-03-12,599084,616333.2112275031
2018-03-12,600638,616269.3186197134
